date,name,category,value
2021-02-09,ETH,DeFi,1751.5
2021-02-09,LINK,Link,25.447
2021-02-09,LTC,Ltc,167.87
2021-02-10,ETH,DeFi,1769.9
2021-02-10,LINK,Link,27.605
2021-02-10,LTC,Ltc,181.84
2021-02-11,ETH,DeFi,1741.8
2021-02-11,LINK,Link,26.832
2021-02-11,LTC,Ltc,181.92
2021-02-12,BNB,CeFi,123.989
2021-02-12,ETH,DeFi,1786.9
2021-02-12,LINK,Link,27.8705
2021-02-12,LTC,Ltc,184.09
2021-02-13,BNB,CeFi,136.513
2021-02-13,ETH,DeFi,1841.0
2021-02-13,LINK,Link,30.6565
2021-02-13,LTC,Ltc,197.115
2021-02-14,BNB,CeFi,133.245
2021-02-14,ETH,DeFi,1815.9
2021-02-14,LINK,Link,34.249
2021-02-14,LTC,Ltc,226.35
2021-02-15,BNB,CeFi,135.918
2021-02-15,ETH,DeFi,1800.3
2021-02-15,LINK,Link,33.201
2021-02-15,LTC,Ltc,213.795
2021-02-16,BNB,CeFi,129.894
2021-02-16,ETH,DeFi,1778.2
2021-02-16,LINK,Link,32.5955
2021-02-16,LTC,Ltc,208.0
2021-02-17,BNB,CeFi,129.933
2021-02-17,ETH,DeFi,1781.5
2021-02-17,LINK,Link,31.95
2021-02-17,LTC,Ltc,210.12
2021-02-18,BNB,CeFi,165.357
2021-02-18,ETH,DeFi,1849.3
2021-02-18,LINK,Link,32.2425
2021-02-18,LTC,Ltc,237.41
2021-02-19,BNB,CeFi,195.602
2021-02-19,ETH,DeFi,1938.7
2021-02-19,LINK,Link,32.454
2021-02-19,LTC,Ltc,227.025
2021-02-20,BNB,CeFi,333.242
2021-02-20,ETH,DeFi,1956.2
2021-02-20,LINK,Link,34.734
2021-02-20,LTC,Ltc,236.66
2021-02-21,BNB,CeFi,253.405
2021-02-21,ETH,DeFi,1912.6
2021-02-21,LINK,Link,33.9745
2021-02-21,LTC,Ltc,226.86
2021-02-22,BNB,CeFi,294.848
2021-02-22,ETH,DeFi,1934.3
2021-02-22,LINK,Link,34.123
2021-02-22,LTC,Ltc,227.115
2021-02-23,BNB,CeFi,266.938
2021-02-23,ETH,DeFi,1778.0
2021-02-23,LINK,Link,31.508
2021-02-23,LTC,Ltc,207.66
