date,name,category,value
2020-03-28,ETH,DeFi,128.995
2020-03-29,ETH,DeFi,130.98
2020-03-30,ETH,DeFi,124.35
2020-03-31,ETH,DeFi,132.12
2020-04-01,ETH,DeFi,132.7
2020-04-02,ETH,DeFi,135.7
2020-04-03,ETH,DeFi,141.33
2020-04-04,ETH,DeFi,141.31
2020-04-05,ETH,DeFi,144.13
2020-04-06,ETH,DeFi,142.57
2020-04-07,ETH,DeFi,171.32
2020-04-08,ETH,DeFi,164.59
2020-04-09,BNB,CeFi,14.9055
2020-04-09,ETH,DeFi,173.27
2020-04-09,LTC,Ltc,45.84
2020-04-10,BNB,CeFi,14.993
2020-04-10,ETH,DeFi,169.47
2020-04-10,LTC,Ltc,46.205
2020-04-11,BNB,CeFi,13.686
2020-04-11,ETH,DeFi,157.73
2020-04-11,LTC,Ltc,42.255
2020-04-12,BNB,CeFi,13.78
2020-04-12,ETH,DeFi,158.39
2020-04-12,LTC,Ltc,42.56
2020-04-13,BNB,CeFi,14.235
2020-04-13,ETH,DeFi,158.58
2020-04-13,LTC,Ltc,42.015
2020-04-14,BNB,CeFi,14.99
2020-04-14,ETH,DeFi,156.31
2020-04-14,LTC,Ltc,41.215
2020-04-15,BNB,CeFi,15.578
2020-04-15,ETH,DeFi,158.35
2020-04-15,LTC,Ltc,41.175
2020-04-16,BNB,CeFi,14.568
2020-04-16,ETH,DeFi,152.66
2020-04-16,LTC,Ltc,39.235
2020-04-17,BNB,CeFi,15.709
2020-04-17,ETH,DeFi,172.32
2020-04-17,LTC,Ltc,42.52
2020-04-18,BNB,CeFi,15.621
2020-04-18,ETH,DeFi,170.66
2020-04-18,LTC,Ltc,42.185
2020-04-19,BNB,CeFi,16.594
2020-04-19,ETH,DeFi,187.53
2020-04-19,LTC,Ltc,44.135
2020-04-20,BNB,CeFi,16.023
2020-04-20,ETH,DeFi,179.91
2020-04-20,LTC,Ltc,42.19
2020-04-21,BNB,CeFi,14.95
2020-04-21,ETH,DeFi,170.07
2020-04-21,LINK,Link,3.42975
2020-04-21,LTC,Ltc,40.17
2020-04-22,BNB,CeFi,15.116
2020-04-22,ETH,DeFi,170.69
2020-04-22,LINK,Link,3.4565
2020-04-22,LTC,Ltc,40.615
2020-04-23,BNB,CeFi,15.652
2020-04-23,ETH,DeFi,182.82
2020-04-23,LINK,Link,3.6735
2020-04-23,LTC,Ltc,41.815
2020-04-24,BNB,CeFi,16.029
2020-04-24,ETH,DeFi,185.5
2020-04-24,LINK,Link,3.7485
2020-04-24,LTC,Ltc,42.96
2020-04-25,BNB,CeFi,15.912
2020-04-25,ETH,DeFi,187.59
2020-04-25,LINK,Link,3.7785
2020-04-25,LTC,Ltc,44.56
2020-04-26,BNB,CeFi,16.209
2020-04-26,ETH,DeFi,194.33
2020-04-26,LINK,Link,3.787
2020-04-26,LTC,Ltc,44.38
2020-04-27,BNB,CeFi,16.347
2020-04-27,ETH,DeFi,197.55
2020-04-27,LINK,Link,3.716
2020-04-27,LTC,Ltc,44.555
2020-04-28,BNB,CeFi,16.403
2020-04-28,ETH,DeFi,196.43
2020-04-28,LINK,Link,3.635
2020-04-28,LTC,Ltc,44.455
2020-04-29,BNB,CeFi,16.336
2020-04-29,ETH,DeFi,196.28
2020-04-29,LINK,Link,3.637
2020-04-29,LTC,Ltc,45.695
2020-04-30,BNB,CeFi,17.362
2020-04-30,ETH,DeFi,215.31
2020-04-30,LINK,Link,3.8905
2020-04-30,LTC,Ltc,48.81
2020-05-01,BNB,CeFi,16.967
2020-05-01,ETH,DeFi,206.32
2020-05-01,LINK,Link,3.6955
2020-05-01,LTC,Ltc,46.51
2020-05-02,BNB,CeFi,17.464
2020-05-02,ETH,DeFi,212.24
2020-05-02,LINK,Link,3.7655
2020-05-02,LTC,Ltc,47.115
2020-05-03,BNB,CeFi,17.526
2020-05-03,ETH,DeFi,213.82
2020-05-03,LINK,Link,3.814
2020-05-03,LTC,Ltc,49.19
2020-05-04,BNB,CeFi,17.087
2020-05-04,ETH,DeFi,209.82
2020-05-04,LINK,Link,3.71
2020-05-04,LTC,Ltc,48.08
2020-05-05,BNB,CeFi,17.006
2020-05-05,ETH,DeFi,206.73
2020-05-05,LINK,Link,3.7455
2020-05-05,LTC,Ltc,47.0
2020-05-06,BNB,CeFi,16.883
2020-05-06,ETH,DeFi,205.25
2020-05-06,LINK,Link,3.6845
2020-05-06,LTC,Ltc,46.55
2020-05-07,BNB,CeFi,16.372
2020-05-07,ETH,DeFi,198.78
2020-05-07,LINK,Link,3.587
2020-05-07,LTC,Ltc,44.91
2020-05-08,BNB,CeFi,17.002
2020-05-08,ETH,DeFi,212.23
2020-05-08,LINK,Link,3.762
2020-05-08,LTC,Ltc,47.405
2020-05-09,BNB,CeFi,17.122
2020-05-09,ETH,DeFi,211.48
2020-05-09,LINK,Link,3.796
2020-05-09,LTC,Ltc,47.745
2020-05-10,BNB,CeFi,16.762
2020-05-10,ETH,DeFi,210.3
2020-05-10,LINK,Link,4.0155
2020-05-10,LTC,Ltc,47.0
2020-05-11,BNB,CeFi,15.337
2020-05-11,ETH,DeFi,187.89
2020-05-11,LINK,Link,3.755
2020-05-11,LTC,Ltc,42.045
2020-05-12,BNB,CeFi,15.089
2020-05-12,ETH,DeFi,185.74
2020-05-12,LINK,Link,3.5735
2020-05-12,LTC,Ltc,41.43
2020-05-13,BNB,CeFi,15.779
2020-05-13,ETH,DeFi,189.64
2020-05-13,LINK,Link,3.69
2020-05-13,LTC,Ltc,42.145
2020-05-14,BNB,CeFi,16.204
2020-05-14,ETH,DeFi,199.55
2020-05-14,LINK,Link,3.767
2020-05-14,LTC,Ltc,43.18
2020-05-15,BNB,CeFi,16.37
2020-05-15,ETH,DeFi,203.23
2020-05-15,LINK,Link,3.807
2020-05-15,LTC,Ltc,44.03
2020-05-16,BNB,CeFi,15.705
2020-05-16,ETH,DeFi,194.84
2020-05-16,LINK,Link,3.6595
2020-05-16,LTC,Ltc,42.74
2020-05-17,BNB,CeFi,16.051
2020-05-17,ETH,DeFi,200.56
2020-05-17,LINK,Link,3.762
2020-05-17,LTC,Ltc,43.27
2020-05-18,BNB,CeFi,16.289
2020-05-18,ETH,DeFi,207.06
2020-05-18,LINK,Link,3.7815
2020-05-18,LTC,Ltc,43.71
2020-05-19,BNB,CeFi,16.625
2020-05-19,ETH,DeFi,214.95
2020-05-19,LINK,Link,3.889
2020-05-19,LTC,Ltc,45.36
2020-05-20,BNB,CeFi,17.201
2020-05-20,ETH,DeFi,214.66
2020-05-20,LINK,Link,3.9455
2020-05-20,LTC,Ltc,45.715
2020-05-21,BNB,CeFi,16.897
2020-05-21,ETH,DeFi,209.91
2020-05-21,LINK,Link,4.0855
2020-05-21,LTC,Ltc,44.245
2020-05-22,BNB,CeFi,16.072
2020-05-22,ETH,DeFi,198.79
2020-05-22,LINK,Link,3.827
2020-05-22,LTC,Ltc,42.78
2020-05-23,BNB,CeFi,16.596
2020-05-23,ETH,DeFi,207.34
2020-05-23,LINK,Link,4.0585
2020-05-23,LTC,Ltc,44.23
2020-05-24,BNB,CeFi,16.477
2020-05-24,ETH,DeFi,206.65
2020-05-24,LINK,Link,3.929
2020-05-24,LTC,Ltc,43.87
2020-05-25,BNB,CeFi,15.948
2020-05-25,ETH,DeFi,199.91
2020-05-25,LINK,Link,3.7955
2020-05-25,LTC,Ltc,42.05
2020-05-26,BNB,CeFi,16.377
2020-05-26,ETH,DeFi,204.23
2020-05-26,LINK,Link,3.864
2020-05-26,LTC,Ltc,42.955
2020-05-27,BNB,CeFi,16.198
2020-05-27,ETH,DeFi,201.0
2020-05-27,LINK,Link,3.8415
2020-05-27,LTC,Ltc,42.34
2020-05-28,BNB,CeFi,16.467
2020-05-28,ETH,DeFi,208.45
2020-05-28,LINK,Link,3.854
2020-05-28,LTC,Ltc,43.86
2020-05-29,BNB,CeFi,17.056
2020-05-29,ETH,DeFi,220.2
2020-05-29,LINK,Link,4.0475
2020-05-29,LTC,Ltc,44.735
2020-05-30,BNB,CeFi,16.987
2020-05-30,ETH,DeFi,220.57
2020-05-30,LINK,Link,3.9805
2020-05-30,LTC,Ltc,44.49
2020-05-31,BNB,CeFi,17.733
2020-05-31,ETH,DeFi,243.72
2020-05-31,LINK,Link,4.1695
2020-05-31,LTC,Ltc,47.74
2020-06-01,BNB,CeFi,17.076
2020-06-01,ETH,DeFi,231.57
2020-06-01,LINK,Link,4.1395
2020-06-01,LTC,Ltc,45.58
2020-06-02,BNB,CeFi,17.941
2020-06-02,ETH,DeFi,248.42
2020-06-02,LINK,Link,4.3775
2020-06-02,LTC,Ltc,48.355
2020-06-03,BNB,CeFi,17.249
2020-06-03,ETH,DeFi,237.65
2020-06-03,LINK,Link,4.4015
2020-06-03,LTC,Ltc,45.95
2020-06-04,BNB,CeFi,17.573
2020-06-04,ETH,DeFi,244.47
2020-06-04,LINK,Link,4.4925
2020-06-04,LTC,Ltc,47.13
2020-06-05,BNB,CeFi,17.506
2020-06-05,ETH,DeFi,243.21
2020-06-05,LINK,Link,4.4295
2020-06-05,LTC,Ltc,47.455
2020-06-06,BNB,CeFi,17.672
2020-06-06,ETH,DeFi,240.09
2020-06-06,LINK,Link,4.355
2020-06-06,LTC,Ltc,46.82
2020-06-07,BNB,CeFi,17.538
2020-06-07,ETH,DeFi,242.04
2020-06-07,LINK,Link,4.354
2020-06-07,LTC,Ltc,46.775
2020-06-08,BNB,CeFi,17.406
2020-06-08,ETH,DeFi,244.68
2020-06-08,LINK,Link,4.3445
2020-06-08,LTC,Ltc,46.6
2020-06-09,BNB,CeFi,17.44
2020-06-09,ETH,DeFi,246.53
2020-06-09,LINK,Link,4.4765
2020-06-09,LTC,Ltc,46.45
2020-06-10,BNB,CeFi,17.366
2020-06-10,ETH,DeFi,243.85
2020-06-10,LINK,Link,4.441
2020-06-10,LTC,Ltc,45.845
2020-06-11,BNB,CeFi,17.402
2020-06-11,ETH,DeFi,247.97
2020-06-11,LINK,Link,4.4205
2020-06-11,LTC,Ltc,46.685
2020-06-12,BNB,CeFi,16.24
2020-06-12,ETH,DeFi,230.42
2020-06-12,LINK,Link,3.9575
2020-06-12,LTC,Ltc,43.21
2020-06-13,BNB,CeFi,16.637
2020-06-13,ETH,DeFi,237.64
2020-06-13,LINK,Link,4.0815
2020-06-13,LTC,Ltc,44.715
2020-06-14,BNB,CeFi,16.814
2020-06-14,ETH,DeFi,238.17
2020-06-14,LINK,Link,4.1085
2020-06-14,LTC,Ltc,45.065
2020-06-15,BNB,CeFi,16.557
2020-06-15,ETH,DeFi,231.61
2020-06-15,LINK,Link,3.934
2020-06-15,LTC,Ltc,44.035
2020-06-16,BNB,CeFi,16.373
2020-06-16,ETH,DeFi,230.89
2020-06-16,LINK,Link,3.9295
2020-06-16,LTC,Ltc,43.695
2020-06-17,BNB,CeFi,16.424
2020-06-17,ETH,DeFi,235.32
2020-06-17,LINK,Link,4.047
2020-06-17,LTC,Ltc,43.87
2020-06-18,BNB,CeFi,16.385
2020-06-18,ETH,DeFi,233.86
2020-06-18,LINK,Link,4.167
2020-06-18,LTC,Ltc,44.07
2020-06-19,BNB,CeFi,16.148
2020-06-19,ETH,DeFi,231.29
